original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top1_accuracy,top3_accuracy,top5_accuracy
MDSMPN DIAGNOSIS AT ACQUISITION,Myelodysplastic/Myeloproliferative Neoplasm,4,2,de novo Myelodysplastic Syndrome,0.6355,"Myelodysplastic Syndrome/Acute Myeloid Leukemia, Not Otherwise Specified",0.6034,Mature Plasmacytoid Dendritic Cell Proliferation Associated with Myeloid Neoplasm,0.6009,Myelodysplastic/Myeloproliferative Neoplasm,0.5948,Myelodysplastic Syndrome/Acute Myeloid Leukemia,0.5938,False,False,True
MEDULLARY,"Medullary Carcinoma, Not Otherwise Specified",99,2,Medullary Hemangioblastoma,0.6926,Kidney Medullary Carcinoma,0.6766,Advanced Kidney Medullary Carcinoma,0.6585,Meningioma,0.6444,Thyroid Gland Medullary Carcinoma,0.6435,False,False,False
MEDULLARY BREAST CARCINOMA,Breast Medullary Carcinoma,1,2,Breast Medullary Carcinoma,0.9857,Breast Atypical Medullary Carcinoma,0.8820,Recurrent Breast Medullary Carcinoma,0.8175,Breast Carcinoma,0.7920,Breast Tubular Carcinoma,0.7772,True,True,True
MEDULLARY CARCINOMA,"Medullary Carcinoma, Not Otherwise Specified",3,2,Colorectal Medullary Carcinoma,0.8809,Kidney Medullary Carcinoma,0.8799,"Medullary Carcinoma, Not Otherwise Specified",0.8789,Thyroid Gland Medullary Carcinoma,0.8764,Colon Medullary Carcinoma,0.8591,False,True,True
MEDULLARY CARCINOMA OF THE COLON,Colon Medullary Carcinoma,1,2,Colon Medullary Carcinoma,0.9494,Colorectal Medullary Carcinoma,0.9044,Small Intestinal Medullary Carcinoma,0.7835,Rectal Medullary Carcinoma,0.7803,Colon Carcinoma,0.7710,True,True,True
MEDULLARY THYROID CANCER,Thyroid Gland Medullary Carcinoma,1,2,Thyroid Gland Medullary Carcinoma,0.9525,Sporadic Thyroid Gland Medullary Carcinoma,0.8810,Metastatic Thyroid Gland Medullary Carcinoma,0.8503,Advanced Thyroid Gland Medullary Carcinoma,0.8458,Hereditary Thyroid Gland Medullary Carcinoma,0.8283,True,True,True
MEDULLARY THYROID CARCINOMA,Thyroid Gland Medullary Carcinoma,1,2,Thyroid Gland Medullary Carcinoma,0.9702,Sporadic Thyroid Gland Medullary Carcinoma,0.8919,Advanced Thyroid Gland Medullary Carcinoma,0.8635,Metastatic Thyroid Gland Medullary Carcinoma,0.8523,Thyroid Gland Mixed Medullary and Papillary Carcinoma,0.8476,True,True,True
MEDULLA_CARCINOMA,Thyroid Gland Medullary Carcinoma,5,2,"Medullary Carcinoma, Not Otherwise Specified",0.8272,Kidney Medullary Carcinoma,0.8230,Breast Medullary Carcinoma,0.7687,Colon Medullary Carcinoma,0.7644,Thyroid Gland Medullary Carcinoma,0.7637,False,False,True
MEDULLOBLASTOMA,Medulloblastoma,1,2,Medulloblastoma,1.0000,Classic Medulloblastoma,0.9324,Childhood Medulloblastoma,0.9262,Medulloblastoma Molecular Subtypes,0.8764,Adult Medulloblastoma,0.8667,True,True,True
MED_GROUP_3,"Medulloblastoma, Non-WNT/Non-SHH, Group 3",99,2,Grade 3 Meningioma,0.6157,Grade 3 Malignant Neoplasm,0.6085,WHO Grade 3 Glioma,0.5876,ROSE Cluster 3,0.5812,Adult Grade 3 Meningioma,0.5724,False,False,False
MELANOMA,Melanoma,1,2,Melanoma,1.0000,Cutaneous Melanoma,0.8940,Dermal Melanoma,0.8436,Retinal Melanoma,0.8239,Ocular Melanoma,0.8167,True,True,True
MELANOMA CUTANEOUS,Cutaneous Melanoma,1,2,Cutaneous Melanoma,0.9889,Dermal Melanoma,0.9001,Melanoma,0.8921,Non-Cutaneous Melanoma,0.8250,Ocular Melanoma,0.7974,True,True,True
MELANOMA MUCOSAL,Mucosal Melanoma,1,2,Mucosal Melanoma,0.9851,Metastatic Mucosal Melanoma,0.8891,Oral Cavity Mucosal Melanoma,0.8309,Mucosal Lentiginous Melanoma,0.8267,Mucosal Nodular Melanoma,0.8232,True,True,True
MELANOMA OF UNKNOWN PRIMARY,Melanoma of Unknown Primary,1,2,Melanoma of Unknown Primary,1.0000,Metastatic Malignant Neoplasm of Unknown Primary,0.8321,Carcinoma of Unknown Primary,0.8064,Adenocarcinoma of Unknown Primary,0.7674,Undifferentiated Carcinoma of Unknown Primary,0.7521,True,True,True
MELANOMA OTHER,Melanoma,1,2,Melanoma,0.8256,Ocular Melanoma,0.7523,Cutaneous Melanoma,0.7509,Non-Cutaneous Melanoma,0.7508,Metastatic Melanoma,0.7355,True,True,True
MELANOMA UVEAL,Uveal Melanoma,1,2,Uveal Melanoma,0.9870,Uveal Melanocytic Neoplasm,0.8675,Uveal Melanocytoma,0.8596,Metastatic Uveal Melanoma,0.8582,Uveal Epithelioid Cell Melanoma,0.8540,True,True,True
"MELANOMA, AMELANOTIC",Amelanotic Melanoma,1,2,Amelanotic Melanoma,0.9744,Amelanotic Cutaneous Melanoma,0.9573,Cutaneous Melanoma,0.7146,Acral Lentiginous Melanoma,0.7037,Acral Melanoma,0.6980,True,True,True
MELANOTIC MELANOMA,Melanoma,4,2,Melanocytic Neoplasm,0.8410,Cutaneous Melanoma,0.8393,Skin Melanocytic Neoplasm,0.8337,Melanoma,0.8233,Melanocytic Nevus,0.8170,False,False,True
MELANOTIC SCHWANNOMA,Melanotic Schwannoma,1,2,Melanotic Schwannoma,1.0000,Melanotic Neurofibroma,0.8606,Mediastinal Melanotic Schwannoma,0.8519,Cutaneous Schwannoma,0.8417,Schwannoma,0.8189,True,True,True
MENINGIOMA,Meningioma,1,2,Meningioma,1.0000,Cerebral Meningioma,0.9146,Intracranial Meningioma,0.9044,Benign Meningioma,0.8722,Meningiomatosis,0.8443,True,True,True
MENINGOTHELIAL TUMOR,Meningioma,99,2,Meningothelial Cell Neoplasm,0.9671,Meningeal Neoplasm,0.8526,Meningothelial Meningioma,0.8434,Meningeal Lymphoma,0.7876,Leptomeningeal Neoplasm,0.7686,False,False,False
MERKEL CELL CARCINOMA,Merkel Cell Carcinoma,1,2,Merkel Cell Carcinoma,1.0000,Cutaneous Merkel Cell Carcinoma,0.9504,Advanced Merkel Cell Carcinoma,0.8885,Head and Neck Merkel Cell Carcinoma,0.8746,Extracutaneous Merkel Cell Carcinoma,0.8628,True,True,True
MERKEL_CELL_CARCINOMA,Merkel Cell Carcinoma,1,2,Merkel Cell Carcinoma,0.9468,Cutaneous Merkel Cell Carcinoma,0.9045,Advanced Merkel Cell Carcinoma,0.8483,Head and Neck Merkel Cell Carcinoma,0.8458,Extracutaneous Merkel Cell Carcinoma,0.8446,True,True,True
MESENCHYMAL CHONDROSARCOMA,Mesenchymal Chondrosarcoma,1,2,Mesenchymal Chondrosarcoma,1.0000,Mesenchymal Chondrosarcoma of Bone,0.9685,Chondrosarcoma,0.9335,Adult Mesenchymal Chondrosarcoma,0.9128,Mesenchymal Extraskeletal Chondrosarcoma,0.8939,True,True,True
MESENCHYMAL NEOPLASM,Mesenchymal Cell Neoplasm,1,2,Mesenchymal Cell Neoplasm,0.9233,Soft Tissue Neoplasm,0.7721,Musculoskeletal Neoplasm,0.7645,Connective and Soft Tissue Neoplasm,0.7440,Stromal Neoplasm,0.7339,True,True,True
MESONEPHRIC CARCINOMA,Mesonephric Adenocarcinoma,1,2,Mesonephric Adenocarcinoma,0.9602,Mesonephric-Like Adenocarcinoma,0.8999,Cervical Mesonephric Adenocarcinoma,0.8923,Metastatic Mesonephric Adenocarcinoma,0.8757,Ovarian Mesonephric-Like Adenocarcinoma,0.8327,True,True,True
METAPLASTIC BREAST CANCER,Breast Metaplastic Carcinoma,1,2,Breast Metaplastic Carcinoma,0.9749,Metaplastic Carcinoma,0.8956,Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma,0.8119,Breast Mixed Carcinoma,0.7722,Breast Carcinoma with Osseous Metaplasia,0.7696,True,True,True
METAPLASTIC CARCINOMA,Metaplastic Carcinoma,1,2,Metaplastic Carcinoma,1.0000,Breast Metaplastic Carcinoma,0.8836,Metaplastic Meningioma,0.8098,Adenocarcinoma with Metaplasia,0.7800,Mixed Carcinoma,0.7381,True,True,True
METAPLASTIC_BREAST_CARCINOMA,Breast Metaplastic Carcinoma,1,2,Breast Metaplastic Carcinoma,0.9608,Metaplastic Carcinoma,0.8678,Breast Mixed Epithelial/Mesenchymal Metaplastic Carcinoma,0.8020,Breast Carcinoma,0.7683,Breast Carcinoma with Osseous Metaplasia,0.7660,True,True,True
METAPLASTIC_CARCINOMA,Metaplastic Carcinoma,1,2,Metaplastic Carcinoma,0.9725,Breast Metaplastic Carcinoma,0.8539,Adenocarcinoma with Metaplasia,0.7789,Metaplastic Meningioma,0.7738,Carcinoma,0.7362,True,True,True
METASTATIC CARCINOMA,Carcinoma,99,2,Metastatic Carcinoma,1.0000,Metastatic Adenocarcinoma,0.8870,Metastatic Malignant Neoplasm,0.8764,Secondary Carcinoma,0.8640,Metastatic Neoplasm,0.8613,False,False,False
METASTATIC HORMONE-SENSITIVE,Castration-Sensitive Prostate Carcinoma,99,2,Metastatic High Grade Sarcoma,0.6762,Hormone-Resistant Prostate Carcinoma,0.6742,Metastatic Neoplasm,0.6687,Advanced Carcinosarcoma,0.6672,Hormone Therapy Refractory Neoplasm,0.6633,False,False,False
"METASTATIC, VARIANT HISTOLOGY",Aggressive Variant Prostate Carcinoma,99,2,Metastatic High Grade Sarcoma,0.7069,Metastatic Neoplasm,0.6821,Metastatic Malignant Neoplasm,0.6786,Metastatic Carcinoma,0.6729,Metastatic Carcinosarcoma,0.6560,False,False,False
METASTATIC_OVARIAN_CANCER,Metastatic Ovarian Carcinoma,1,2,Metastatic Ovarian Carcinoma,0.9228,Metastatic Malignant Neoplasm in the Ovary,0.8927,Metastatic Ovarian Undifferentiated Carcinoma,0.8217,Advanced Ovarian Carcinoma,0.7792,Metastatic Ovarian Carcinosarcoma,0.7780,True,True,True
METATYPICAL,Skin Metatypical Carcinoma,99,2,Mixed Neoplasm,0.5967,Neoplasm by Morphology,0.5882,Mixed Glioma,0.5846,Malignant Mixed Neoplasm,0.5805,Mixed Osteosarcoma,0.5790,False,False,False
MGUS,Monoclonal Gammopathy of Undetermined Significance,1,2,Monoclonal Gammopathy of Undetermined Significance,0.7180,"IgM Monoclonal Gammopathy of Undetermined Significance, Not Otherwise Specified",0.6652,IgM Monoclonal Gammopathy of Undetermined Significance,0.6612,Salivary Gland Myoepithelioma,0.6408,Non-IgM Monoclonal Gammopathy of Undetermined Significance,0.6331,True,True,True
MICROPAPILLARY ADENOCARCINOMA 82653,Lung Micropapillary Adenocarcinoma,99,2,Cervical Micropapillary Adenocarcinoma,0.6970,Micropapillary Carcinoma,0.6941,Invasive Pancreatic Micropapillary Adenocarcinoma,0.6878,Colorectal Micropapillary Adenocarcinoma,0.6825,Colon Micropapillary Adenocarcinoma,0.6680,False,False,False
"MINIMALLY INVASIVE ADENOCARCINOMA, NON-MUCINOUS 82502",Minimally Invasive Lung Non-Mucinous Adenocarcinoma,1,2,Minimally Invasive Lung Non-Mucinous Adenocarcinoma,0.7289,Minimally Invasive Lung Mucinous Adenocarcinoma,0.6843,Invasive Lung Non-Mucinous Adenocarcinoma,0.6831,"Sinonasal Adenocarcinoma, Intestinal-Type with Mucinous Pattern",0.6807,"Cervical Mucinous Adenocarcinoma, Intestinal-Type",0.6707,True,True,True
MISCELLANEOUS BRAIN TUMOR,Brain Neoplasm,1,2,Brain Neoplasm,0.7734,Miscellaneous Neoplasm,0.7438,Malignant Brain Neoplasm,0.6801,"Medulloblastoma, Not Otherwise Specified",0.6595,Primary Brain Neoplasm,0.6572,True,True,True
MISCELLANEOUS NEUROEPITHELIAL TUMOR,Neuroepithelial Neoplasm,1,2,Neuroepithelial Neoplasm,0.8266,Central Nervous System Neuroepithelial Neoplasm of Uncertain Origin,0.7655,Dysembryoplastic Neuroepithelial Tumor,0.7458,"Neuroepithelial, Perineurial, and Schwann Cell Neoplasm",0.7215,Glioneuronal and Neuronal Tumors,0.7113,True,True,True
MIT FAMILY TRANSLOCATION RENAL CELL CARCINOMA,MiT Family Translocation-Associated Renal Cell Carcinoma,99,2,Renal Cell Carcinoma with MiT Translocations,0.8955,Childhood Renal Cell Carcinoma with MiT Translocations,0.8303,Renal Cell Carcinoma with Constitutional Chromosome 3 Translocations,0.7623,TFE3-Rearranged Renal Cell Carcinoma,0.7451,TFEB-Rearranged Renal Cell Carcinoma,0.7277,False,False,False
MIXED 80% ALVEOLAR,Rhabdomyosarcoma with Mixed Embryonal and Alveolar Features,99,2,Alveolar Adenoma,0.5934,Mixed Cell Adenoma,0.5819,"Lung Adenocarcinoma, Mixed Subtype",0.5733,Conventional Alveolar Rhabdomyosarcoma,0.5725,Adult Mixed Glioma,0.5720,False,False,False
MIXED ACINAR-DUCTAL CARCINOMA,Pancreatic Mixed Acinar-Ductal Carcinoma,1,2,Pancreatic Mixed Acinar-Ductal Carcinoma,0.9255,Mixed Cell Adenocarcinoma,0.8160,Pancreatic Mixed Ductal Adenocarcinoma-Acinar Carcinoma-Neuroendocrine Carcinoma,0.8076,Acinar Cell Carcinoma,0.8068,Breast Mixed Ductal and Lobular Carcinoma,0.7939,True,True,True
MIXED ACINAR-NEUROENDOCRINE CARCINOMA,Pancreatic Mixed Acinar-Neuroendocrine Carcinoma,99,2,Pancreatic Mixed Acinar Carcinoma-Neuroendocrine Carcinoma,0.9279,Pancreatic Mixed Ductal Adenocarcinoma-Acinar Carcinoma-Neuroendocrine Carcinoma,0.8897,Pancreatic Mixed Ductal Adenocarcinoma-Neuroendocrine Carcinoma,0.8743,Pancreatic Mixed Adenoneuroendocrine Carcinoma,0.8609,Gastric Mixed Adenoneuroendocrine Carcinoma,0.8266,False,False,False
MIXED ADENOCARCINOMA AND NEUROENDOCRINE CARCINOMA,Digestive System Mixed Adenoneuroendocrine Carcinoma,5,2,Pancreatic Mixed Acinar Carcinoma-Neuroendocrine Carcinoma,0.8625,Pancreatic Mixed Ductal Adenocarcinoma-Neuroendocrine Carcinoma,0.8434,Pancreatic Mixed Ductal Adenocarcinoma-Acinar Carcinoma-Neuroendocrine Carcinoma,0.8391,Adenocarcinoma with Neuroendocrine Differentiation,0.8323,Digestive System Mixed Adenoneuroendocrine Carcinoma,0.8306,False,False,True
MIXED CANCER TYPES,Mixed Carcinoma,1,2,Mixed Carcinoma,0.8995,Malignant Mixed Neoplasm,0.8518,Mixed Neoplasm,0.8489,Mixed Cell Adenocarcinoma,0.8053,Mixed Cell Lymphoma,0.7982,True,True,True
MIXED CARCINOMA,Mixed Carcinoma,1,2,Mixed Carcinoma,1.0000,Mixed Cell Adenocarcinoma,0.8902,Breast Mixed Carcinoma,0.8513,Malignant Mixed Neoplasm,0.8505,Mixed Neoplasm,0.8322,True,True,True
MIXED GERM CELL TUMOR,Mixed Germ Cell Tumor,1,2,Mixed Germ Cell Tumor,1.0000,Testicular Mixed Germ Cell Tumor,0.9173,Childhood Mixed Germ Cell Tumor,0.9094,Central Nervous System Mixed Germ Cell Tumor,0.8908,Ovarian Mixed Germ Cell Tumor,0.8609,True,True,True
MIXED INFILTRATING LOBULAR AND GRADE 1 DUCTAL CARCINOMA,Breast Mixed Ductal and Lobular Carcinoma,1,2,Breast Mixed Ductal and Lobular Carcinoma,0.8321,Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma,0.7654,Invasive Breast Ductal Carcinoma and Lobular Carcinoma,0.7587,Breast Ductal Carcinoma In Situ and Invasive Lobular Carcinoma,0.7539,Breast Ductal Carcinoma In Situ and Lobular Carcinoma,0.7429,True,True,True
MIXED INVASIVE DUCTAL AND INVASIVE LOBULAR,Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma,1,2,Invasive Breast Ductal Carcinoma and Invasive Lobular Carcinoma,0.8315,Invasive Breast Ductal Carcinoma and Lobular Carcinoma In Situ,0.7899,Breast Ductal Carcinoma In Situ and Invasive Lobular Carcinoma,0.7893,Invasive Breast Ductal Carcinoma and Lobular Carcinoma,0.7853,Breast Mixed Ductal and Lobular Carcinoma,0.7669,True,True,True
"MIXED PHENOTYPE ACUTE LEUKAEMIA, B/MYELOID, NOS","Mixed Phenotype Acute Leukemia, B/Myeloid",1,2,"Mixed Phenotype Acute Leukemia, B/Myeloid",0.9809,"Mixed Phenotype Acute Leukemia, B/T/Myeloid",0.9345,"Mixed Phenotype Acute Leukemia, B/T",0.9078,Mixed Phenotype Acute Leukemia,0.8469,"Mixed Phenotype Acute Leukemia, Rare Types",0.8090,True,True,True
"MIXED PHENOTYPE ACUTE LEUKAEMIA, T/MYELOID, NOS","Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified",99,2,"Mixed Phenotype Acute Leukemia, T/Myeloid",0.9833,"Mixed Phenotype Acute Leukemia, T/Megakaryocytic",0.9193,"Mixed Phenotype Acute Leukemia, B/T/Myeloid",0.8742,"Mixed Phenotype Acute Leukemia, B/T",0.8631,Mixed Phenotype Acute Leukemia,0.8432,False,False,False
"MIXED PHENOTYPE ACUTE LEUKEMIA, B/MYELOID, NOS","Mixed Phenotype Acute Leukemia, B/Myeloid, Not Otherwise Specified",99,2,"Mixed Phenotype Acute Leukemia, B/Myeloid",0.9897,"Mixed Phenotype Acute Leukemia, B/T/Myeloid",0.9523,"Mixed Phenotype Acute Leukemia, B/T",0.9217,Mixed Phenotype Acute Leukemia,0.8606,"Mixed Phenotype Acute Leukemia, Rare Types",0.8282,False,False,False
"MIXED PHENOTYPE ACUTE LEUKEMIA, T/MYELOID, NOS","Mixed Phenotype Acute Leukemia, T/Myeloid, Not Otherwise Specified",99,2,"Mixed Phenotype Acute Leukemia, T/Myeloid",0.9910,"Mixed Phenotype Acute Leukemia, T/Megakaryocytic",0.9236,"Mixed Phenotype Acute Leukemia, B/T/Myeloid",0.8859,"Mixed Phenotype Acute Leukemia, B/T",0.8709,Mixed Phenotype Acute Leukemia,0.8496,False,False,False
MIXED SEROUS AND ENDOMETRIOID,Endometrial Serous Adenocarcinoma,99,2,"Endometrioid Adenocarcinoma, Variant with Squamous Differentiation",0.7351,Endometrioid Stromal Sarcoma,0.7350,Endometrioid Tumor,0.7347,"Endometrioid Tumor, Variant with Squamous Differentiation",0.7274,Endometrial Endometrioid Adenocarcinoma with Metaplastic Changes,0.7233,False,False,False
MIXED_ADENOSQUAMOUS_CARCINOMA,Adenosquamous Carcinoma,1,2,Adenosquamous Carcinoma,0.8672,Lung Adenosquamous Carcinoma,0.7815,Mixed Cell Adenocarcinoma,0.7673,Endometrial Adenosquamous Carcinoma,0.7610,Skin Adenosquamous Carcinoma,0.7599,True,True,True
MIXED_CARCINOMA,Mixed Carcinoma,1,2,Mixed Carcinoma,0.9561,Mixed Cell Adenocarcinoma,0.8472,Malignant Mixed Neoplasm,0.8331,Breast Mixed Carcinoma,0.8140,Mixed Neoplasm,0.7905,True,True,True
MIXED_GERM_CELL,Mixed Germ Cell Tumor,1,2,Mixed Germ Cell Tumor,0.8516,Childhood Mixed Germ Cell Tumor,0.7517,Testicular Mixed Germ Cell Tumor,0.7417,Central Nervous System Mixed Germ Cell Tumor,0.7412,Ovarian Mixed Germ Cell Tumor,0.7237,True,True,True
"MLL TRANSLOCATION, T9;11",Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL,99,2,Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A,0.6576,Acute Leukemia of Ambiguous Lineage with BCL11B Rearrangement,0.6371,B Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3); KMT2A Rearranged,0.6286,Acute Myeloid Leukemia with t(11;19)(q23.3;p13.3); KMT2A-MLLT1,0.6091,B Acute Lymphoblastic Leukemia with t(v;11q23.3); KMT2A Rearranged,0.6080,False,False,False
MLL-ALL,Acute Myeloid Leukemia with MLL Rearrangement,99,2,Acute Lymphoblastic Leukemia,0.7252,Common Acute Lymphoblastic Leukemia,0.7063,Lymphoid Leukemia,0.7035,L1 Acute Lymphoblastic Leukemia,0.6935,B Acute Lymphoblastic Leukemia with TCF4-HLF Rearrangement,0.6925,False,False,False
MMMT,Malignant Mixed Mesodermal (Mullerian) Tumor,99,2,Multiple Myeloma with MAF Family Translocation,0.6350,Multiple Myeloma,0.6232,Malignant Mesothelioma,0.6193,Meningioma,0.6141,MGMT-Methylated Glioblastoma,0.6073,False,False,False
MONOCLONAL B-CELL LYMPHOCYTOSIS,Monoclonal B-Cell Lymphocytosis,1,2,Monoclonal B-Cell Lymphocytosis,1.0000,"Monoclonal B-Cell Lymphocytosis, Non-Chronic Lymphocytic Leukemia Type",0.8583,"Monoclonal B-Cell Lymphocytosis, Chronic Lymphocytic Leukemia Type",0.8448,Mature B-Cell Non-Hodgkin Lymphoma,0.7907,Mature B-Cell Neoplasm,0.7758,True,True,True
MONOMORPHIC EPITHELIOTROPIC INTESTINAL T-CELL LYMPHOMA,Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma,1,2,Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma,1.0000,Small Intestinal Monomorphic Epitheliotropic T-Cell Lymphoma,0.9298,Recurrent Monomorphic Epitheliotropic Intestinal T-cell Lymphoma,0.8682,Refractory Monomorphic Epitheliotropic Intestinal T-cell Lymphoma,0.8575,Intestinal T-Cell Lymphoma,0.7910,True,True,True
MORPHEAN,Skin Sclerosing/Morphoeic Basal Cell Carcinoma,1,2,Skin Sclerosing/Morphoeic Basal Cell Carcinoma,0.5103,Desmoplastic Melanoma,0.5052,Nodular Melanoma,0.5046,Iris Mixed Epithelioid and Spindle Cell Melanoma,0.4897,Mucosal Nodular Melanoma,0.4861,True,True,True
MUCINOUS ADENOCARCINOMA OF THE APPENDIX,Appendix Mucinous Adenocarcinoma,1,2,Appendix Mucinous Adenocarcinoma,0.9586,Mucinous Adenocarcinoma,0.8820,Appendix Mucinous Cystadenocarcinoma,0.8633,Colon Mucinous Adenocarcinoma,0.8598,Gastric Mucinous Adenocarcinoma,0.8565,True,True,True
MUCINOUS CARCINOMA,Mucinous Adenocarcinoma,1,2,Mucinous Adenocarcinoma,0.9525,Mucinous Neoplasm,0.8729,Colon Mucinous Adenocarcinoma,0.8671,Mucinous Cystadenocarcinoma,0.8632,Colorectal Mucinous Adenocarcinoma,0.8561,True,True,True
MUCINOUS COLLOID ADENOCARCINOMA,Gastric Mucinous Adenocarcinoma,2,2,Mucinous Adenocarcinoma,0.9189,Gastric Mucinous Adenocarcinoma,0.8676,Cervical Mucinous Adenocarcinoma,0.8579,Salivary Gland Mucinous Adenocarcinoma,0.8552,Appendix Mucinous Adenocarcinoma,0.8501,False,True,True
MUCINOUS CYSTADENOCARCINOMA,Mucinous Cystadenocarcinoma,1,2,Mucinous Cystadenocarcinoma,1.0000,Mucinous Cystadenoma,0.9225,Appendix Mucinous Cystadenocarcinoma,0.9161,Ovarian Mucinous Cystadenocarcinoma,0.9124,Breast Mucinous Cystadenocarcinoma,0.8983,True,True,True
MUCINOUS CYSTIC NEOPLASM,Pancreatic Mucinous-Cystic Neoplasm,1,2,Pancreatic Mucinous-Cystic Neoplasm,0.8951,Mucinous Neoplasm,0.8817,Mucinous Cystadenoma,0.8553,Cystic Neoplasm,0.8346,Gallbladder Mucinous Cystic Neoplasm,0.8304,True,True,True
MUCINOUS OVARIAN CANCER,Malignant Ovarian Mucinous Tumor,2,2,Ovarian Mucinous Adenocarcinoma,0.9296,Malignant Ovarian Mucinous Tumor,0.8762,Ovarian Mucinous Tumor,0.8619,Mucinous Adenocarcinoma,0.8570,Ovarian Mucinous Cystadenocarcinoma,0.8545,False,True,True
MUCINOUS STOMACH ADENOCARCINOMA,Gastric Mucinous Adenocarcinoma,1,2,Gastric Mucinous Adenocarcinoma,0.9680,Mucinous Adenocarcinoma,0.8731,"Endometrial Mucinous Adenocarcinoma, Gastric-Type",0.8417,Salivary Gland Mucinous Adenocarcinoma,0.8398,Appendix Mucinous Adenocarcinoma,0.8378,True,True,True
MUCINOUS_CARCINOMA,Mucinous Adenocarcinoma,1,2,Mucinous Adenocarcinoma,0.9085,Mucinous Neoplasm,0.8520,Mucinous Cystadenocarcinoma,0.8412,Breast Mucinous Carcinoma,0.8335,Mucin-Producing Carcinoma,0.8311,True,True,True
MUCM,Mucosal Melanoma,1,2,Mucosal Melanoma,0.6563,Metastatic Mucosal Melanoma,0.6397,Mucinous Neoplasm,0.6331,Mucinous Adenocarcinoma,0.6329,Malignant Mastocytosis,0.6135,True,True,True
MUCOEPIDERMOID CARCINOMA,Mucoepidermoid Carcinoma,1,2,Mucoepidermoid Carcinoma,1.0000,Skin Mucoepidermoid Carcinoma,0.9074,Lung Mucoepidermoid Carcinoma,0.8709,Salivary Gland Mucoepidermoid Carcinoma,0.8687,Breast Mucoepidermoid Carcinoma,0.8637,True,True,True
MUCOEPIDERMOID CARCINOMA OF THE LUNG,Lung Mucoepidermoid Carcinoma,1,2,Lung Mucoepidermoid Carcinoma,0.9626,Mucoepidermoid Carcinoma,0.8336,Laryngeal Mucoepidermoid Carcinoma,0.7808,Lung Lymphoepithelial Carcinoma,0.7566,Breast Mucoepidermoid Carcinoma,0.7530,True,True,True
MUCOEPIDERMOID_CARCINOMA,Mucoepidermoid Carcinoma,1,2,Mucoepidermoid Carcinoma,0.9826,Skin Mucoepidermoid Carcinoma,0.9068,Salivary Gland Mucoepidermoid Carcinoma,0.8506,Lung Mucoepidermoid Carcinoma,0.8495,Breast Mucoepidermoid Carcinoma,0.8481,True,True,True
MUCOSAL MELANOMA OF THE ESOPHAGUS,Esophageal Melanoma,1,2,Esophageal Melanoma,0.8231,Mucosal Melanoma,0.7364,Metastatic Mucosal Melanoma,0.6901,Esophageal Mucoepidermoid Carcinoma,0.6848,Mucosal Melanoma of the Digestive System,0.6802,True,True,True
MUCOSAL MELANOMA OF THE URETHRA,Urethral Melanoma,1,2,Urethral Melanoma,0.8268,Mucosal Melanoma of the Urinary System,0.8001,Mucosal Melanoma of the Genitourinary System,0.7726,Penile Mucosal Melanoma,0.7362,Male Urethral Malignant Neoplasm,0.7086,True,True,True
MUCOSAL MELANOMA OF THE VULVA/VAGINA,Vaginal Melanoma,2,2,Vulvar Melanoma,0.8246,Vaginal Melanoma,0.7923,Mucosal Melanoma of the Female Genital Tract,0.7600,Vulvar Melanocytic Neoplasm,0.7247,Vulvar Melanocytic Nevus,0.7171,False,True,True
