"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db","...5","...6","...7"
"MMMT","Malignant Mixed Mesodermal (Mullerian) Tumor","NCIT:C8975","NCIT",NA,NA,NA
"MULLERIAN CARCINOMA","Malignant Mixed Mesodermal (Mullerian) Tumor","NCIT:C8975","NCIT",NA,NA,NA
"MULLERIAN_CARCINOMA","Malignant Mixed Mesodermal (Mullerian) Tumor","NCIT:C8975","NCIT",NA,NA,NA
"MALIGNANT MIXED MULLERIAN TUMOR MMMT","Malignant Mixed Mesodermal (Mullerian) Tumor","NCIT:C8975","NCIT",NA,NA,NA
"ADRENOCORTICAL ADENOMA","Adrenal Cortical Adenoma","NCIT:C9003","NCIT",NA,NA,NA
"MATURE TERATOMA","Mature Teratoma","NCIT:C9015","NCIT",NA,NA,NA
"TERATOMA MATURE","Mature Teratoma","NCIT:C9015","NCIT",NA,NA,NA
"CERVICAL CANCER","Cervical Carcinoma","NCIT:C9039","NCIT",NA,NA,NA
"CERVICAL CANCER, NOS","Cervical Carcinoma","NCIT:C9039","NCIT",NA,NA,NA
"CARCINOMA OF UTERINE CERVIX","Cervical Carcinoma","NCIT:C9039","NCIT",NA,NA,NA
"CERVICAL_CARCINOMA","Cervical Carcinoma","NCIT:C9039","NCIT",NA,NA,NA
"PENILE CANCER","Penile Carcinoma","NCIT:C9061","NCIT",NA,NA,NA
"BLAST_PHASE_CHRONIC_MYELOID_LEUKAEMIA","Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive","NCIT:C9110","NCIT",NA,NA,NA
"SARCOMA","Sarcoma","NCIT:C9118","NCIT",NA,NA,NA
"SARCOMA, NOS","Sarcoma","NCIT:C9118","NCIT",NA,NA,NA
"UNCLASSIFIED SARCOMA","Sarcoma","NCIT:C9118","NCIT",NA,NA,NA
"SARC","Sarcoma","NCIT:C9118","NCIT",NA,NA,NA
"SARC_OTHER","Sarcoma","NCIT:C9118","NCIT",NA,NA,NA
"MEDULLARY BREAST CARCINOMA","Breast Medullary Carcinoma","NCIT:C9119","NCIT",NA,NA,NA
"PANCREATIC DUCTAL ADENOCARCINOMA","Pancreatic Ductal Adenocarcinoma","NCIT:C9120","NCIT",NA,NA,NA
"DUCTAL ADENOCARCINOMA","Pancreatic Ductal Adenocarcinoma","NCIT:C9120","NCIT",NA,NA,NA
"PANCREAS-ADENOCARCINOMA DUCTAL TYPE","Pancreatic Ductal Adenocarcinoma","NCIT:C9120","NCIT",NA,NA,NA
"BREAST INVASIVE MIXED MUCINOUS CARCINOMA","Breast Mucinous Carcinoma","NCIT:C9131","NCIT",NA,NA,NA
"LUNG ADENOSQUAMOUS CARCINOMA","Lung Adenosquamous Carcinoma","NCIT:C9133","NCIT",NA,NA,NA
"INFILTRATING TUBULAR CARCINOMA","Breast Tubular Carcinoma","NCIT:C9135","NCIT",NA,NA,NA
"COMBINED SMALL CELL LUNG CARCINOMA","Combined Lung Small Cell Carcinoma","NCIT:C9137","NCIT",NA,NA,NA
"OSTEOSARCOMA","Osteosarcoma","NCIT:C9145","NCIT",NA,NA,NA
"OS","Osteosarcoma","NCIT:C9145","NCIT",NA,NA,NA
"BOTRYOID","Botryoid-Type Embryonal Rhabdomyosarcoma","NCIT:C9150","NCIT",NA,NA,NA
"LENTIGO MALIGNA MELANOMA","Lentigo Maligna Melanoma","NCIT:C9151","NCIT",NA,NA,NA
"SUPERFICIAL SPREADING MELANOMA","Low-CSD Melanoma","NCIT:C9152","NCIT",NA,NA,NA
"SUPERFICIAL SPREADING","Low-CSD Melanoma","NCIT:C9152","NCIT",NA,NA,NA
"INTESTINAL_ADENOCARCINOMA","Gastric Intestinal-Type Adenocarcinoma","NCIT:C9157","NCIT",NA,NA,NA
"INTESTINAL TYPE STOMACH ADENOCARCINOMA","Gastric Intestinal-Type Adenocarcinoma","NCIT:C9157","NCIT",NA,NA,NA
"STOMACH, INTESTINAL ADENOCARCINOMA, NOT OTHERWISE SPECIFIED NOS","Gastric Intestinal-Type Adenocarcinoma","NCIT:C9157","NCIT",NA,NA,NA
"DIFFUSE_ADENOCARCINOMA","Gastric Diffuse Adenocarcinoma","NCIT:C9159","NCIT",NA,NA,NA
"DIFFUSE TYPE STOMACH ADENOCARCINOMA","Gastric Diffuse Adenocarcinoma","NCIT:C9159","NCIT",NA,NA,NA
"STOMACH, ADENOCARCINOMA, DIFFUSE TYPE","Gastric Diffuse Adenocarcinoma","NCIT:C9159","NCIT",NA,NA,NA
"DIFFUSE_GASTRIC","Gastric Diffuse Adenocarcinoma","NCIT:C9159","NCIT",NA,NA,NA
"ANAL SQUAMOUS CELL CARCINOMA","Anal Squamous Cell Carcinoma","NCIT:C9161","NCIT",NA,NA,NA
"ANAL SQUAMOUS CELL","Anal Squamous Cell Carcinoma","NCIT:C9161","NCIT",NA,NA,NA
"ANSC","Anal Squamous Cell Carcinoma","NCIT:C9161","NCIT",NA,NA,NA
"GALLBLADDER ADENOCARCINOMA","Gallbladder Adenocarcinoma","NCIT:C9166","NCIT",NA,NA,NA
"ADENOCARCINOMA OF GALLBLADDER","Gallbladder Adenocarcinoma","NCIT:C9166","NCIT",NA,NA,NA
"GALLBLADDER ADENOCARCINOMA, NOS","Gallbladder Adenocarcinoma","NCIT:C9166","NCIT",NA,NA,NA
"GALLBLADDER_ADENOCARCINOMA","Gallbladder Adenocarcinoma","NCIT:C9166","NCIT",NA,NA,NA
"SQUAMOUS CELL CARCINOMA OF GALLBLADDER","Gallbladder Squamous Cell Carcinoma","NCIT:C9170","NCIT",NA,NA,NA
"CARCINOMA WITH SQUAMOUS DIFFERENTIATION","Gallbladder Squamous Cell Carcinoma","NCIT:C9170","NCIT",NA,NA,NA
"DESMOID FIBROMATOSIS","Desmoid Fibromatosis","NCIT:C9182","NCIT",NA,NA,NA
"DESMOID TUMOR","Desmoid Fibromatosis","NCIT:C9182","NCIT",NA,NA,NA
"DESMOID/AGGRESSIVE FIBROMATOSIS","Desmoid Fibromatosis","NCIT:C9182","NCIT",NA,NA,NA
"OVARIAN CARCINOSARCOMA/MALIGNANT MIXED MESODERMAL TUMOR","Ovarian Carcinosarcoma","NCIT:C9192","NCIT",NA,NA,NA
"MERKEL CELL CARCINOMA","Merkel Cell Carcinoma","NCIT:C9231","NCIT",NA,NA,NA
"MERKEL_CELL_CARCINOMA","Merkel Cell Carcinoma","NCIT:C9231","NCIT",NA,NA,NA
"SYSTEMIC MASTOCYTOSIS","Systemic Mastocytosis","NCIT:C9235","NCIT",NA,NA,NA
"INVASIVE BREAST CARCINOMA","Invasive Breast Carcinoma","NCIT:C9245","NCIT",NA,NA,NA
"INVASIVE BREAST CANCER","Invasive Breast Carcinoma","NCIT:C9245","NCIT",NA,NA,NA
"INFILTRATING CARCINOMA NOS","Invasive Breast Carcinoma","NCIT:C9245","NCIT",NA,NA,NA
"BREAST INVASIVE CARCINOMA","Invasive Breast Carcinoma","NCIT:C9245","NCIT",NA,NA,NA
"BREAST INVASIVE CARCINOMA BRCA","Invasive Breast Carcinoma","NCIT:C9245","NCIT",NA,NA,NA
"BREAST INVASIVE CANCER, NOS","Invasive Breast Carcinoma","NCIT:C9245","NCIT",NA,NA,NA
"BREAST INVASIVE CARCINOMA NOS","Invasive Breast Carcinoma","NCIT:C9245","NCIT",NA,NA,NA
"ANGIOCENTRIC GLIOMA","Angiocentric Glioma","NCIT:C92552","NCIT",NA,NA,NA
"EXTRAVENTRICULAR NEUROCYTOMA","Extraventricular Neurocytoma","NCIT:C92555","NCIT",NA,NA,NA
"ANAPLASTIC MEDULLOBLASTOMA","Anaplastic Medulloblastoma","NCIT:C92625","NCIT",NA,NA,NA
"MYCOSIS_FUNGOIDES-SEZARY_SYNDROME","Mycosis Fungoides and Sezary Syndrome","NCIT:C9265","NCIT",NA,NA,NA
"SALIVARY GLAND CANCER","Salivary Gland Carcinoma","NCIT:C9272","NCIT",NA,NA,NA
"SALIVARY CANCER","Salivary Gland Carcinoma","NCIT:C9272","NCIT",NA,NA,NA
"SALIVARY CARCINOMA","Salivary Gland Carcinoma","NCIT:C9272","NCIT",NA,NA,NA
"SALIVARY CARCINOMA, OTHER","Salivary Gland Carcinoma","NCIT:C9272","NCIT",NA,NA,NA
"PRIMARY MEDIASTINAL THYMIC LARGE B-CELL LYMPHOMA","Primary Mediastinal (Thymic) Large B-Cell Lymphoma","NCIT:C9280","NCIT",NA,NA,NA
"PRIMARY MEDIASTINAL THYMIC DLBCL","Primary Mediastinal (Thymic) Large B-Cell Lymphoma","NCIT:C9280","NCIT",NA,NA,NA
"B_CELL_MEDIASTINAL_LARGE","Primary Mediastinal (Thymic) Large B-Cell Lymphoma","NCIT:C9280","NCIT",NA,NA,NA
"FOLLICULAR DENDRITIC CELL SARCOMA","Follicular Dendritic Cell Sarcoma","NCIT:C9281","NCIT",NA,NA,NA
"AML WITH INV16P13.1;Q22 OR T16:16P13.1:Q22;  CBFB-MYH11","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","NCIT:C9287","NCIT",NA,NA,NA
"AML WITH INV16P13.1Q22 OR T16;16P13.1;Q22; CBFB-MYH11","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","NCIT:C9287","NCIT",NA,NA,NA
"AML WITH INV16P13.1Q22 OR T16;16P13.1;Q22;CBFB-MYH11","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","NCIT:C9287","NCIT",NA,NA,NA
"AML WITH T8;21Q22;Q22.1; RUNX1-RUNX1T1","Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1","NCIT:C9288","NCIT",NA,NA,NA
"AML WITH T8;21Q22;Q22.1;RUNX1-RUNX1T1","Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1","NCIT:C9288","NCIT",NA,NA,NA
"AML WITH T8;21Q22;Q22; RUNX1-RUNX1T1","Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1","NCIT:C9288","NCIT",NA,NA,NA
"ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA","Acute Myeloid Leukemia with Multilineage Dysplasia","NCIT:C9289","NCIT",NA,NA,NA
"ACUTE MYELOID LEUKEMIA WITH MULTILINEAGE DYSPLASIA, NOT HAVING ACHIEVED REMISSION","Acute Myeloid Leukemia with Multilineage Dysplasia","NCIT:C9289","NCIT",NA,NA,NA
"MYELOID NEOPLASM","Myeloid Neoplasm","NCIT:C9290","NCIT",NA,NA,NA
"ANAL CANCER","Anal Carcinoma","NCIT:C9291","NCIT",NA,NA,NA
"INITIAL CNS TUMOR","Central Nervous System Neoplasm","NCIT:C9293","NCIT",NA,NA,NA
"INITIAL CNS TUMOR LAST INITIAL","Central Nervous System Neoplasm","NCIT:C9293","NCIT",NA,NA,NA
"INITIAL CNS TUMOR FIRST HGG RECORD","Central Nervous System Neoplasm","NCIT:C9293","NCIT",NA,NA,NA
"INITIAL CNS TUMOR NEW LOCATION","Central Nervous System Neoplasm","NCIT:C9293","NCIT",NA,NA,NA
"HISTIOCYTIC AND DENDRITIC CELL NEOPLASMS","Histiocytic and Dendritic Cell Neoplasm","NCIT:C9294","NCIT",NA,NA,NA
"HISTIOCYTIC DENDRITIC CELL SARCOMA","Histiocytic and Dendritic Cell Neoplasm","NCIT:C9294","NCIT",NA,NA,NA
"ADENOCARCINOMA OF THE GASTROESOPHAGEAL JUNCTION","Gastroesophageal Junction Adenocarcinoma","NCIT:C9296","NCIT",NA,NA,NA
"ESOPHAGOGASTRIC ADENOCARCINOMA","Gastroesophageal Junction Adenocarcinoma","NCIT:C9296","NCIT",NA,NA,NA
"BLADDER/URINARY TRACT CANCER, NOS","Malignant Urinary System Neoplasm","NCIT:C9297","NCIT",NA,NA,NA
"ACUTE UNDIFFERENTIATED LEUKEMIA","Acute Undifferentiated Leukemia","NCIT:C9298","NCIT",NA,NA,NA
"ACUTE UNDIFFERENTIATED LEUKAEMIA","Acute Undifferentiated Leukemia","NCIT:C9298","NCIT",NA,NA,NA
"MALIGNANT TUMOR","Malignant Neoplasm","NCIT:C9305","NCIT",NA,NA,NA
"CANCER OF UNKNOWN PRIMARY","Malignant Neoplasm","NCIT:C9305","NCIT",NA,NA,NA
"SOFT TISSUE SARCOMA","Soft Tissue Sarcoma","NCIT:C9306","NCIT",NA,NA,NA
"SOFT TISSUE SARCOMA OTHER","Soft Tissue Sarcoma","NCIT:C9306","NCIT",NA,NA,NA
"SEMINOMA; NOS","Seminoma","NCIT:C9309","NCIT",NA,NA,NA
"SEMINOMA","Seminoma","NCIT:C9309","NCIT",NA,NA,NA
"BONE SARCOMA","Bone Sarcoma","NCIT:C9312","NCIT",NA,NA,NA
"BONE SARCOMA OTHER","Bone Sarcoma","NCIT:C9312","NCIT",NA,NA,NA
"TESTICULAR NON-SEMINOMA","Testicular Non-Seminomatous Germ Cell Tumor","NCIT:C9313","NCIT",NA,NA,NA
"TGCT NON-SEM","Testicular Non-Seminomatous Germ Cell Tumor","NCIT:C9313","NCIT",NA,NA,NA
"TGCT_NON-SEMINOMA","Testicular Non-Seminomatous Germ Cell Tumor","NCIT:C9313","NCIT",NA,NA,NA
"ADRENOCORTICAL CARCINOMA","Adrenal Cortical Carcinoma","NCIT:C9325","NCIT",NA,NA,NA
"ACC","Adrenal Cortical Carcinoma","NCIT:C9325","NCIT",NA,NA,NA
"ADRENOCORTICAL CARCINOMA- USUAL TYPE","Adrenal Cortical Carcinoma","NCIT:C9325","NCIT",NA,NA,NA
"APPENDICEAL CANCER","Appendix Carcinoma","NCIT:C9330","NCIT",NA,NA,NA
"PERIPHERAL NEUROECTODERMAL TUMOR","Peripheral Primitive Neuroectodermal Tumor","NCIT:C9341","NCIT",NA,NA,NA
"PINEOBLASTOMA","Pineoblastoma","NCIT:C9344","NCIT",NA,NA,NA
"PLASMACYTOMA","Plasmacytoma","NCIT:C9349","NCIT",NA,NA,NA
"PLEURAL MESOTHELIOMA","Pleural Mesothelioma","NCIT:C9351","NCIT",NA,NA,NA
"PLMESO","Pleural Mesothelioma","NCIT:C9351","NCIT",NA,NA,NA
"HODGKIN LYMPHOMA","Hodgkin Lymphoma","NCIT:C9357","NCIT",NA,NA,NA
"HODGKIN_LYMPHOMA","Hodgkin Lymphoma","NCIT:C9357","NCIT",NA,NA,NA
"LYMPHOMA_HODGKIN","Hodgkin Lymphoma","NCIT:C9357","NCIT",NA,NA,NA
"B-CELL, HODGKINS","Hodgkin Lymphoma","NCIT:C9357","NCIT",NA,NA,NA
"HODGKINS","Hodgkin Lymphoma","NCIT:C9357","NCIT",NA,NA,NA
"LYMPHOBLASTIC LYMPHOMA","Lymphoblastic Lymphoma","NCIT:C9360","NCIT",NA,NA,NA
"LYMPHOBLASTIC_LYMPHOMA","Lymphoblastic Lymphoma","NCIT:C9360","NCIT",NA,NA,NA
"RECTAL ADENOCARCINOMA","Rectal Adenocarcinoma","NCIT:C9383","NCIT",NA,NA,NA
"READ","Rectal Adenocarcinoma","NCIT:C9383","NCIT",NA,NA,NA
"READ_GS","Rectal Adenocarcinoma","NCIT:C9383","NCIT",NA,NA,NA
"KIDNEY CANCER","Kidney Carcinoma","NCIT:C9384","NCIT",NA,NA,NA
"KIDNEY CANCER, NOS","Kidney Carcinoma","NCIT:C9384","NCIT",NA,NA,NA
"RENAL CANCER","Kidney Carcinoma","NCIT:C9384","NCIT",NA,NA,NA
"KIDNEY_CANCER","Kidney Carcinoma","NCIT:C9384","NCIT",NA,NA,NA
"RENAL CELL CARCINOMA","Renal Cell Carcinoma","NCIT:C9385","NCIT",NA,NA,NA
"RENAL_CELL_CARCINOMA","Renal Cell Carcinoma","NCIT:C9385","NCIT",NA,NA,NA
"KIDNEY RENAL CELL CARCINOMA","Renal Cell Carcinoma","NCIT:C9385","NCIT",NA,NA,NA
"RENAL NON-CLEAR CELL CARCINOMA","Renal Cell Carcinoma","NCIT:C9385","NCIT",NA,NA,NA
"REL CELL CARCINOMA","Renal Cell Carcinoma","NCIT:C9385","NCIT",NA,NA,NA
"KIDNEY RENAL CELL CARCINOMA OTHER","Renal Cell Carcinoma","NCIT:C9385","NCIT",NA,NA,NA
"UNCLASSIFIED KIDNEY RENAL CELL CARCINOMA","Renal Cell Carcinoma","NCIT:C9385","NCIT",NA,NA,NA
"WELL-DIFFERENTIATED LEIOMYOSARCOMA RESEMBLING LEIOMYOMA","Well Differentiated Leiomyosarcoma","NCIT:C9389","NCIT",NA,NA,NA
"CONVENTIONAL LEIOMYOSARCOMA","Conventional Leiomyosarcoma","NCIT:C9428","NCIT",NA,NA,NA
"PITUICYTOMA","Pituicytoma","NCIT:C94524","NCIT",NA,NA,NA
"SMALL CELL BLADDER CANCER","Bladder Small Cell Neuroendocrine Carcinoma","NCIT:C9461","NCIT",NA,NA,NA
"ADENOSARCOMA","Adenosarcoma","NCIT:C9474","NCIT",NA,NA,NA
"DIFFUSE INTRINSIC PONTINE GLIOMA","Diffuse Intrinsic Pontine Glioma","NCIT:C94764","NCIT",NA,NA,NA
"DIPG","Diffuse Intrinsic Pontine Glioma","NCIT:C94764","NCIT",NA,NA,NA
"ANAPLASTIC ASTROCYTOMA","Anaplastic Astrocytoma","NCIT:C9477","NCIT",NA,NA,NA
"ASTROCYTOMA, ANAPLASTIC","Anaplastic Astrocytoma","NCIT:C9477","NCIT",NA,NA,NA
"LOCOREGIONAL RECURRENCE","Locally Recurrent Malignant Neoplasm","NCIT:C94796","NCIT",NA,NA,NA
"THRBCL","T-Cell/Histiocyte-Rich Large B-Cell Lymphoma","NCIT:C9496","NCIT",NA,NA,NA
"DYSEMBRYOPLASTIC NEUROEPITHELIAL TUMOR","Dysembryoplastic Neuroepithelial Tumor","NCIT:C9505","NCIT",NA,NA,NA
"GASTROINTESTINAL NEUROENDOCRINE TUMOR","Digestive System Neuroendocrine Tumor","NCIT:C95404","NCIT",NA,NA,NA
"GASTROINTESTINAL NEUROENDOCRINE TUMORS","Digestive System Neuroendocrine Tumor","NCIT:C95404","NCIT",NA,NA,NA
"GASTROINTESTINAL NEUROENDOCRINE","Digestive System Neuroendocrine Tumor","NCIT:C95404","NCIT",NA,NA,NA
"GINET","Digestive System Neuroendocrine Tumor","NCIT:C95404","NCIT",NA,NA,NA
"MIXED ADENOCARCINOMA AND NEUROENDOCRINE CARCINOMA","Digestive System Mixed Adenoneuroendocrine Carcinoma","NCIT:C95406","NCIT",NA,NA,NA
"MIXED ACINAR-DUCTAL CARCINOMA","Pancreatic Mixed Acinar-Ductal Carcinoma","NCIT:C95458","NCIT",NA,NA,NA
"INTRADUCTAL TUBULOPAPILLARY NEOPLASM","Pancreatic Intraductal Tubulopapillary Neoplasm","NCIT:C95506","NCIT",NA,NA,NA
"ESOPHAGEAL NEUROENDOCRINE TUMOR","Esophageal Neuroendocrine Tumor","NCIT:C95616","NCIT",NA,NA,NA
"POORLY_COHESIVE","Gastric Poorly Cohesive Adenocarcinoma","NCIT:C95743","NCIT",NA,NA,NA
"GASTRIC NEUROENDOCRINE TUMOR","Gastric Neuroendocrine Tumor","NCIT:C95871","NCIT",NA,NA,NA
"WELL-DIFFERENTIATED NEUROENDOCRINE TUMORS OF THE STOMACH","Gastric Neuroendocrine Tumor","NCIT:C95871","NCIT",NA,NA,NA
"PANCREATOBILIARY AMPULLARY CARCINOMA","Ampulla of Vater Pancreatobiliary Type Adenocarcinoma","NCIT:C95963","NCIT",NA,NA,NA
"HIGH-GRADE NEUROENDOCRINE CARCINOMA OF THE COLON AND RECTUM","Colorectal Neuroendocrine Carcinoma","NCIT:C96156","NCIT",NA,NA,NA
"COLORECTAL NEUROENDOCRINE TUMOR","Colorectal Neuroendocrine Tumor","NCIT:C96159","NCIT",NA,NA,NA
"WELL-DIFFERENTIATED NEUROENDOCRINE TUMOR OF THE APPENDIX","Appendix Neuroendocrine Tumor","NCIT:C96422","NCIT",NA,NA,NA
"NESTED STROMAL EPITHELIAL TUMOR OF THE LIVER","Calcifying Nested Stromal-Epithelial Tumor of the Liver","NCIT:C96830","NCIT",NA,NA,NA
"GALLBLADDER NEUROENDOCRINE TUMOR","Gallbladder Neuroendocrine Tumor","NCIT:C96918","NCIT",NA,NA,NA
"LARGE CELL NEUROENDOCRINE CARCINOMA OF GALLBLADDER","Gallbladder Large Cell Neuroendocrine Carcinoma","NCIT:C96921","NCIT",NA,NA,NA
"HGS","Ovarian High Grade Serous Adenocarcinoma","NCIT:C105555","NCIT",NA,NA,NA
"ACUTE MYELOID LEUKAEMIA (AML) AND RELATED PRECURSOR NEOPLASMS","Acute Myeloid Leukemia","NCIT:C3171","NCIT",NA,NA,NA
"FOCAL NEUROENDOCRINE COMPONENT","Neuroendocrine Neoplasm","NCIT:C3809","NCIT",NA,NA,NA
"EXTRAGONADAL GERM CELL TUMOR","Extragonadal Germ Cell Tumor","NCIT:C3918","NCIT",NA,NA,NA
"MALIGNANT SACROCOCCYGEAL TERATOMA","Sacrococcygeal Teratoma","NCIT:C99055","NCIT",NA,NA,NA
"METASTATIC CARCINOMA","Carcinoma","NCIT:C2916","NCIT",NA,NA,NA
"GERM CELL TUMOR (EMBRYONAL CARCINOMA)","Embryonal Carcinoma","NCIT:C3752","NCIT",NA,NA,NA
"ASTROCYTOMA, SUBTYPE INDETERMINATE","Astrocytoma","NCIT:C60781","NCIT",NA,NA,NA
"AML WITH T(6;9)(P23;Q34); DEK-NUP214","Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214","NCIT:C82423","NCIT",NA,NA,NA
"AML WITH INV(16)(P13.1Q22) OR T(16;16)(P13.1;Q22); CBFB-MYH11","Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11","NCIT:C9287","NCIT",NA,NA,NA
"ACUTE PROMYELOCYTIC LEUKAEMIA WITH T(15;17)(Q22;Q12); PML-RARA","Acute Promyelocytic Leukemia with t(15;17)(q24.1;q21.2); PML-RARA","NCIT:C3182","NCIT",NA,NA,NA
"AML WITH T(8;21)(Q22;Q22); RUNX1-RUNX1T1","Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1","NCIT:C9288","NCIT",NA,NA,NA
"AML WITH T(9;11)(P22;Q23); MLLT3-MLL","Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A","NCIT:C82403","NCIT",NA,NA,NA
"AML WITH INV(3)(Q21Q26.2) OR T(3;3)(Q21;Q26.2); RPN1-EVI1","Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM","NCIT:C82426","NCIT",NA,NA,NA
"MYELODYSPLASTIC SYNDROME ASSOCIATED WITH ISOLATED DEL(5Q)","Myelodysplastic Syndrome with del(5q)","NCIT:C6867","NCIT",NA,NA,NA
"MIXED PHENOTYPE ACUTE LEUKAEMIA, B/MYELOID, NOS","Mixed Phenotype Acute Leukemia, B/Myeloid","NCIT:C82212","NCIT",NA,NA,NA
"SPECIFIC_DX_AT_ACQUISITION_MDSMPN","Myelodysplastic/Myeloproliferative Neoplasm","NCIT:C27262","NCIT",NA,NA,NA
"SPECIFIC DX AT ACQUISITION MDSMPN","Myelodysplastic/Myeloproliferative Neoplasm","NCIT:C27262","NCIT",NA,NA,NA
"NON AML MDSMPN DIAGNOSIS AT ACQUISITION","Myelodysplastic/Myeloproliferative Neoplasm","NCIT:C27262","NCIT",NA,NA,NA
"MDSMPN DIAGNOSIS AT ACQUISITION","Myelodysplastic/Myeloproliferative Neoplasm","NCIT:C27262","NCIT",NA,NA,NA
"BILIARY TRACT CANCER","Liver and Intrahepatic Bile Duct Carcinoma","NCIT:C7927","NCIT",NA,NA,NA
"GERM CELL TUMOR, BRAIN","Childhood Brain Germ Cell Tumor","NCIT:C5795","NCIT",NA,NA,NA
"DISSEMINATED JUVENILE XANTHOGRANULOMA","Disseminated Juvenile Xanthogranuloma","NCIT:C81772","NCIT",NA,NA,NA
"MYELOID ATYPICAL","Atypical Chronic Myeloid Leukemia","NCIT:C3519","NCIT",NA,NA,NA
"PLEXIFORM NEUROFIBROMA","Plexiform Neurofibroma","NCIT:C3797","NCIT",NA,NA,NA
"NEUROFIBROMA","Neurofibroma","NCIT:C3272","NCIT",NA,NA,NA
"BLADDER/URINARY TRACT CANCER","Bladder Carcinoma","NCIT:C4912","NCIT",NA,NA,NA
"URETHRAL CANCER","Urethral Carcinoma","NCIT:C9106","NCIT",NA,NA,NA
"UROTHELIAL PAPILLOMA","Urothelial Papilloma","NCIT:C3842","NCIT",NA,NA,NA
"GOBLET CELL ADENOCARCINOMA OF THE APPENDIX","Appendix Goblet Cell Adenocarcinoma","NCIT:C3689","NCIT",NA,NA,NA
"COLONIC TYPE ADENOCARCINOMA OF THE APPENDIX","Appendix Adenocarcinoma","NCIT:C7718","NCIT",NA,NA,NA
"ANAPLASTIC LARGE-CELL LYMPHOMA ALK NEGATIVE","Anaplastic Large Cell Lymphoma, ALK-Negative","NCIT:C37194","NCIT",NA,NA,NA
"ANAPLASTIC LARGE-CELL LYMPHOMA ALK POSITIVE","Anaplastic Large Cell Lymphoma, ALK-Positive","NCIT:C37193","NCIT",NA,NA,NA
"MONOMORPHIC EPITHELIOTROPIC INTESTINAL T-CELL LYMPHOMA","Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma","NCIT:C96058","NCIT",NA,NA,NA
"NODAL PERIPHERAL T-CELL LYMPHOMA WITH TFH PHENOTYPE","Follicular Helper T-Cell Lymphoma","NCIT:C139005","NCIT",NA,NA,NA
